"","Site","Plot","Tree..","Species","Pith.Score","Match.Score","Core.Condition","Notes","X.1"
"3","Bagley Bottoms",4,3,"SM","B","A","B","",NA
"4","Bagley Bottoms",4,4,"SM","B","A","B","Now tree 6",NA
"5","Bagley Bottoms",4,5,"SM","B","A","B","",NA
"16","Bagley Bottoms",5,1,"CW","C","A","A","",NA
"18","Bagley Bottoms",5,3,"SM","C","A","A","",NA
"31","Bagley Bottoms",10,5,"SWO","A","A","B","",NA
"39","Bagley Bottoms",8,5,"SM","B","A","B","",NA
"45","Bagley Bottoms",7,2,"ASH","A","A","A","",NA
"52","Bagley Bottoms",7,9,"AE","B","A","B","",NA
"53","Bagley Bottoms",7,10,"AE","A","A","A","",NA
"60","Bagley Bottoms",9,4,"CW","C","A","C","",NA
"63","Bagley Bottoms",9,7,"AE","A","A","B","",NA
"81","Bagley Bottoms",2,6,"SM","A","A","A","",NA
"84","Bagley Bottoms",2,9,"SM","C","A","A","",NA
"118","Goose Island",2,1,"ASH","B","A","B","",NA
"122","Goose Island",2,5,"ASH","C","A","B","",NA
"130","Goose Island",2,13,"SM","A","A","B","",NA
"152","Goose Island",9,10,"ASH","A","A","B","",NA
"159","Goose Island",12,5,"OAK","C","A","A","",NA
"164","Goose Island",14,2,"SWO","A","A","A","",NA
"166","Goose Island",14,4,"SWO","C","A","A","",NA
"167","Goose Island",14,5,"HB","B","A","C","",NA
"183","Goose Island",13,5,"OAK","B","A","B","",NA
"184","Goose Island",13,6,"OAK","C","A","B","",NA
"188","Goose Island",6,1,"SWO","B","A","B","",NA
"199","Goose Island",4,1,"ASH","B","A","B","",NA
"210","Goose Island",15,7,"RB","A","A","A","",NA
"234","Great River Harbor",2,1,"ASH","C","A","A","",NA
"235","Great River Harbor",2,2,"CW","B","A","C","",NA
"237","Great River Harbor",2,4,"BE","A","A","B","",NA
"252","Great River Harbor",3,7,"ASH","B","A","A","",NA
"258","Great River Harbor",3,13,"SM","C","A","C","cottonwood",NA
"262","Great River Harbor",4,3,"ASH","B","A","B","",NA
"266","Great River Harbor",4,7,"OAK","B","A","A","basswood",NA
"271","Indian Slough",2,4,"ASH","C","A","B","",NA
"277","Indian Slough",3,3,"SM","C","A","B","",NA
"278","Indian Slough",3,4,"SM","C","A","C","",NA
"281","Indian Slough",3,7,"HB","B","A","B","",NA
"286","Indian Slough",4,1,"SM","C","A","B","",NA
"291","Indian Slough",4,6,"SM","A","A","A","",NA
"297","Indian Slough",1,2,"HB","A","A","B","",NA
"298","Indian Slough",1,3,"RB","A","A","B","",NA
"301","Indian Slough",1,6,"HB","B","A","B","",NA
"303","Indian Slough",1,8,"HB","B","A","A","",NA
"305","Indian Slough",1,10,"SM","C","A","B","",NA
"315","Lake Rebecca",1,9,"ASH","C","A","C","",NA
"316","Lake Rebecca",1,10,"ASH","C","A","B","",NA
"332","Lake Rebecca",2,6,"ASH","A","A","B","",NA
"365","Lake Rebecca",3,9,"ASH","B","A","B","",NA
"387","Lake Rebecca",4,9,"ASH","A","A","A","",NA
"391","Lake Rebecca",4,13,"ASH","A","A","B","",NA
"396","Lake Rebecca",4,18,"ASH","A","A","C","",NA
"397","Lake Rebecca",4,19,"ASH","A","A","C","",NA
"409","Lake Rebecca",5,10,"AE","B","A","C","",NA
"412","McNally's Landing",2,2,"HB","C","A","B","",NA
"413","McNally's Landing",2,3,"HB","B","A","B","",NA
"414","McNally's Landing",2,4,"AE","B","A","A","",NA
"416","McNally's Landing",2,6,"HB","C","A","B","",NA
"418","McNally's Landing",2,8,"HB","B","A","B","",NA
"419","McNally's Landing",2,9,"HB","B","A","A","elm",NA
"424","McNally's Landing",1,2,"ASH","C","A","C","",NA
"426","McNally's Landing",1,4,"ASH","A","A","A","",NA
"430","McNally's Landing",1,8,"ASH","B","A","A","",NA
"431","McNally's Landing",1,9,"ASH","C","A","A","",NA
"432","McNally's Landing",1,10,"ASH","C","A","A","",NA
"433","McNally's Landing",1,11,"ASH","A","A","A","",NA
"437","McNally's Landing",1,15,"ASH","C","A","A","",NA
"442","Minnesota City Boat Club",2,2,"CW","C","A","C","",NA
"450","Minnesota City Boat Club",2,10,"CW","A","A","A","elm",NA
"454","Minnesota City Boat Club",1,2,"AE","B","A","B","",NA
"458","Minnesota City Boat Club",1,6,"ASH","C","A","A","",NA
